Name,min_life_expectancy,max_life_expectancy,max_height_male,max_height_female,max_weight_male,max_weight_female,min_height_male,min_height_female,min_weight_male,min_weight_female,good_with_children,good_with_other_dogs,shedding,grooming,drooling,coat_length,good_with_strangers,playfulness,protectiveness,trainability,energy,barking,Dog_api_id
golden retriever,10,12,24.0,24.0,75.0,65.0,23.0,23.0,65.0,55.0,5,5,4,2,2,1,5,4,3,5,3,1,121
labrador retriever,10,12,24.5,24.5,80.0,70.0,22.5,22.5,65.0,55.0,5,5,4,2,2,1,5,5,3,5,5,3,149
great dane,7,10,32.0,32.0,175.0,140.0,30.0,30.0,140.0,110.0,3,3,3,1,4,1,3,4,5,3,4,3,124
boxer,10,12,25.0,25.0,80.0,65.0,23.0,23.0,65.0,50.0,5,3,2,2,3,1,4,4,4,4,4,3,55
dalmatian,11,13,24.0,24.0,70.0,70.0,19.0,19.0,45.0,45.0,3,3,4,2,2,1,4,4,4,4,4,3,92
poodle (miniature),10,18,15.0,15.0,15.0,15.0,10.0,10.0,10.0,10.0,5,3,1,4,1,1,5,5,3,5,4,4,196
bullmastiff,7,9,27.0,27.0,130.0,120.0,25.0,25.0,110.0,100.0,3,3,3,1,3,1,3,3,5,4,4,1,64
beagle,10,15,16.0,15.0,20.0,30.0,14.0,13.0,15.0,20.0,5,5,3,2,1,1,3,4,2,3,4,4,31
border collie,12,15,22.0,22.0,55.0,55.0,19.0,19.0,30.0,30.0,3,3,3,3,1,1,4,5,3,5,5,4,50
siberian husky,12,14,23.5,23.5,60.0,50.0,21.0,21.0,45.0,35.0,5,5,4,2,1,1,5,5,1,3,5,5,226
shih tzu,10,18,10.5,10.5,16.0,16.0,9.0,9.0,9.0,9.0,5,5,1,4,1,1,3,3,3,4,3,3,223
pomeranian,12,16,7.0,7.0,7.0,7.0,6.0,6.0,3.0,3.0,3,3,2,3,1,1,3,3,4,3,3,4,193
cardigan welsh corgi,12,15,12.5,12.5,38.0,34.0,10.5,10.5,30.0,25.0,4,3,3,2,1,1,4,4,3,4,4,5,68
greyhound,10,13,30.0,30.0,70.0,65.0,28.0,28.0,65.0,60.0,3,4,2,1,1,1,3,3,3,3,4,3,127
chow chow,8,12,20.0,20.0,70.0,70.0,17.0,17.0,45.0,45.0,3,2,3,3,3,1,2,3,5,3,3,1,81
chinese shar-pei,8,12,20.0,20.0,60.0,60.0,18.0,18.0,45.0,45.0,3,3,3,1,3,1,3,3,4,3,3,3,79
cocker spaniel,10,14,15.5,15.5,30.0,25.0,14.5,14.5,25.0,20.0,5,5,3,4,2,1,4,3,3,4,4,3,86
great pyrenees,10,12,32.0,32.0,120.0,90.0,27.0,27.0,110.0,80.0,3,3,3,2,3,1,3,3,5,3,3,3,125
west highland white terrier,13,15,11.0,11.0,20.0,20.0,11.0,11.0,15.0,15.0,5,3,3,3,1,1,4,5,5,3,4,5,256
bernese mountain dog,7,10,27.5,27.5,115.0,95.0,25.0,25.0,80.0,70.0,5,5,5,3,3,1,4,4,3,4,4,3,41
bull terrier,12,13,22.0,22.0,70.0,70.0,21.0,21.0,50.0,50.0,3,1,3,2,1,1,4,4,3,3,4,3,61
newfoundland,9,10,28.0,28.0,150.0,120.0,28.0,28.0,130.0,100.0,5,5,3,2,5,1,5,3,5,3,3,1,171
basset hound,12,13,15.0,14.0,65.0,65.0,12.0,11.0,40.0,40.0,5,5,2,3,4,1,3,3,3,3,2,4,30
pug,13,15,13.0,13.0,18.0,18.0,10.0,10.0,14.0,14.0,5,4,4,2,1,1,5,5,3,4,3,1,201
boston terrier,11,13,17.0,17.0,25.0,25.0,15.0,15.0,12.0,12.0,5,4,2,2,1,1,5,5,3,4,4,2,53
